Sugar ,Milk ,Tapioca Pearls ,Green Tea,Coffee ,Recommended Milk Tea,description
40,10,90,92,96,1,"Black milk tea, also known as 'Hong-Kong-style milk tea', is a delightful beverage that combines robust black tea with creamy milk."
60,94,87,70,66,2,Taro milk tea is a diluted version of tea that contains more milk and added ingredients than the tea itself.
60,70,80,92,80,3,"Thai milk tea is made by combining black tea leaves, condensed milk, evaporated milk, and sometimes additional flavorings like spices or floral infusions."
95,30,90,80,10,4,"Brown Sugar Milk Tea, also known as Tiger Milk Tea or Dirty Boba, has taken the world by storm with its sweet caramel taste, silky texture, and aesthetically pleasing colors."
50,47,94,97,55,5,"Matcha milk tea is a delightful beverage that combines the earthy richness of Japanese green tea powder, the creaminess of milk, and the sweetness of a chosen sweetener (such as honey or syrup)."
81,80,76,56,16,6,Honeydew milk tea is a delightful and mildly sweet drink that will satisfy your fruity cravings in just a few sips.
83,90,95,50,12,7,"Strawberry milk tea is a summertime favorite among bubble (boba) tea drinkers all over the world. This drink comes in many variations with different ingredients. It may be a straight-up milk tea, or it may have black or green tea, herbs, syrups, toppings, or other sweet extras added."
70,90,84,39,16,8,"Mango milk tea is a refreshing drink that includes mango, green tea, and milk."
65,92,57,15,17,9,"Coconut milk tea is emerging as the latest trend among coffee lovers and tea enthusiasts alike. While it may look similar to a traditional milk tea, it's made with creamy coconut milk instead of cow's milk and features a distinctively natural coconut flavor."
80,84,90,93,80,10,"Hokkaido milk tea is a rich and creamy tea that originates from the Hokkaido province of Japan. It is served hot or cold and is made from dried black tea leaves, milk, and sweetener."
80,81,97,80,93,11,"Okinawa milk tea is a type of milk tea that originates from the Okinawa region of Japan. It is a blend of black tea leaves, milk, and a special brown sugar from Okinawa called kokuto."
70,66,86,55,90,12,Mocha milk tea is a delightful beverage that combines the rich flavors of coffee and chocolate with the comforting essence of milk tea.
90,34,95,18,40,13,"Chocolate Milk Tea is a lightly caffeinated drink made with black tea, half and half, and dry hot cocoa mix."
80,92,90,32,10,14,Lychee milk tea is a delightful beverage that combines the refreshing flavor of lychees with a robust milk tea base. The result is a fruity and creamy concoction that's perfect for sipping on warm days.
94,98,80,55,30,15,"Jasmine milk tea refers to the addition of milk or creamer e.g. condensed milk, to this traditional beverage. Occasionally, some stores will add sugar to the drink to increase sweetness. In more recent years, the mass mostly consumes the drink with tapioca pearls."
42,12,85,92,96,1,
62,96,86,74,70,2,
62,72,79,96,84,3,
97,32,89,84,14,4,
54,47,91,100,64,5,
85,80,73,61,25,6,
83,86,88,51,17,7,
65,82,69,32,12,8,
67,91,45,9,14,9,
82,83,78,87,77,10,
82,80,85,74,90,11,
72,65,74,49,87,12,
87,28,85,11,36,13,
77,86,80,25,6,14,
91,92,70,48,26,15,
